"lat","long","year","pop1","citystate","agg_per100k"
44.27,-88.4,1976,55570,"Appleton WI",136.764441245276
40.71,-74.06,1970,260545,"Jersey City NJ",137.020476309275
39.54,-119.82,1973,81000,"Reno NV",137.037037037037
39.99,-82.99,1969,560666,"Columbus OH",137.158308154944
41.77,-88.29,1966,67000,"Aurora IL",137.313432835821
43.42,-83.95,1960,98265,"Saginaw MI",137.383605556404
39.78,-84.2,1963,267859,"Dayton OH",137.385714125715
41.53,-88.12,1964,69795,"Joliet IL",137.545669460563
40.66,-74.11,1966,72629,"Bayonne NJ",137.686048272729
29.9,-93.93,1973,55900,"Port Arthur TX",137.745974955277
33.86,-118.38,1973,62300,"Redondo Beach CA",138.041733547352
39.54,-119.82,1971,74600,"Reno NV",138.069705093834
37.97,-121.31,1966,97754,"Stockton CA",138.101765656648
42.33,-71.21,1972,87600,"Newton MA",138.127853881279
31.57,-97.18,1962,110023,"Waco TX",138.152931659744
33.96,-118.34,1969,87535,"Inglewood CA",138.230422116868
43.01,-88.24,1982,50622,"Waukesha WI",138.279799296748
30.31,-97.75,1960,186545,"Austin TX",138.304430566351
32.69,-97.13,1972,98300,"Arlington TX",138.351983723296
32.75,-97.34,1971,396572,"Fort Worth TX",138.436399947551
43.61,-116.23,1971,75808,"Boise ID",138.507809202195
42.05,-87.69,1966,82300,"Evanston IL",138.517618469016
29.46,-98.51,1961,587718,"San Antonio TX",138.671948111169
27.96,-82.48,1962,299152,"Tampa FL",138.725463978178
34.05,-117.91,1972,71300,"West Covina CA",138.849929873773
39.94,-75.11,1964,119547,"Camden NJ",138.857520473119
41.38,-82.11,1973,54000,"Elyria OH",138.888888888889
37.56,-122.31,1971,79200,"San Mateo CA",138.888888888889
32.75,-97.34,1968,405000,"Fort Worth TX",139.012345679012
42.58,-87.85,1971,79838,"Kenosha WI",139.031538866204
34.16,-118.14,1965,123700,"Pasadena CA",139.046079223929
40.09,-85.69,1976,68261,"Anderson IN",139.171708589092
38.57,-121.47,1969,276600,"Sacramento CA",139.190166305134
42.91,-78.75,1976,130000,"Cheektowaga NY",139.230769230769
35.36,-119,1968,71102,"Bakersfield CA",139.236589688054
42.08,-71.03,1970,89040,"Brockton MA",139.2632524708
41.4,-75.67,1971,103321,"Scranton PA",139.371473369402
41.24,-80.82,1966,64572,"Warren OH",139.37929752834
39.38,-74.45,1960,59544,"Atlantic City NJ",139.392717990058
33.69,-118.01,1972,128400,"Huntington Beach CA",139.408099688474
39.47,-87.38,1975,67409,"Terre Haute IN",139.447254817606
40.09,-85.69,1966,66600,"Anderson IN",139.63963963964
33.79,-118.16,1968,391000,"Long Beach CA",139.641943734015
40.22,-74.76,1964,113804,"Trenton NJ",139.713894063478
39.14,-84.51,1969,500781,"Cincinnati OH",139.781661045447
47.96,-122.2,1970,53622,"Everett WA",139.867964641379
40.74,-89.61,1967,136500,"Peoria IL",139.92673992674
43.01,-88.24,1984,51453,"Waukesha WI",139.933531572503
47.5,-111.29,1991,55712,"Great Falls MT",140.005743825388
43.61,-116.23,1970,74990,"Boise ID",140.018669155887
39.09,-94.35,1969,102841,"Independence MO",140.021975671182
42.71,-84.55,1968,134922,"Lansing MI",140.08093565171
35.47,-97.51,1964,361069,"Oklahoma City OK",140.139419335363
33.9,-98.52,1971,96265,"Wichita Falls TX",140.237885004934
41.24,-80.82,1968,67000,"Warren OH",140.298507462687
41.84,-87.76,1960,69130,"Cicero IL",140.31534789527
36.68,-121.64,1973,62700,"Salinas CA",140.350877192982
38.86,-104.76,1971,141000,"Colorado Springs CO",140.425531914894
33.67,-117.91,1972,76900,"Costa Mesa CA",140.442132639792
37.69,-97.34,1972,278286,"Wichita KS",140.502935828608
40.09,-85.69,1975,73300,"Anderson IN",140.518417462483
41.66,-70.94,1964,103097,"New Bedford MA",140.644247650271
30.68,-88.09,1965,241508,"Mobile AL",140.782085893635
32.81,-117.14,1970,696769,"San Diego CA",140.792716093856
42.34,-71.02,1965,659932,"Boston MA",140.923610311365
35.36,-119,1970,69515,"Bakersfield CA",140.976767604114
41.24,-80.82,1972,63100,"Warren OH",141.045958795563
32.77,-96.6,1971,57400,"Mesquite TX",141.114982578397
30.68,-88.09,1964,225348,"Mobile AL",141.115075350125
42.33,-83.27,1970,80069,"Dearborn Heights MI",141.128276861207
47.96,-122.2,1968,59501,"Everett WA",141.174097914321
29.9,-93.93,1970,57371,"Port Arthur TX",141.186313642781
43.54,-96.73,1979,75063,"Sioux Falls SD",141.214712974435
42.53,-70.97,1974,53800,"Peabody MA",141.263940520446
42.05,-87.69,1969,84100,"Evanston IL",141.498216409037
32.32,-90.21,1962,152649,"Jackson MS",141.501090737574
35.97,-83.95,1972,179423,"Knoxville TN",141.564905279702
42.05,-87.69,1970,79808,"Evanston IL",141.589815557338
40.67,-73.94,1960,7781984,"New York NY",141.621982260565
33.74,-117.88,1967,142621,"Santa Ana CA",141.634121202347
34.14,-117.29,1968,106480,"San Bernardino CA",141.810668670173
34.21,-92.02,1966,57108,"Pine Bluff AR",141.836520277369
33.86,-118.38,1965,55696,"Redondo Beach CA",141.841424877909
34.21,-92.02,1969,58501,"Pine Bluff AR",141.87791661681
32.2,-110.89,1969,249200,"Tucson AZ",142.054574638844
33.9,-98.52,1964,107000,"Wichita Falls TX",142.056074766355
37.28,-79.96,1961,97110,"Roanoke VA",142.106889094841
37.69,-97.34,1967,280013,"Wichita KS",142.136257959452
35.37,-94.38,1973,65393,"Fort Smith AR",142.217056871531
35.2,-101.82,1964,111781,"Amarillo TX",142.242420447124
42.18,-72.57,1975,66082,"Chicopee MA",142.247510668563
32.2,-110.89,1961,212892,"Tucson AZ",142.325686263458
39.78,-86.15,1972,510000,"Indianapolis IN",142.352941176471
42.18,-72.57,1974,68700,"Chicopee MA",142.649199417758
26.75,-80.13,1967,63783,"West Palm Beach FL",142.671244689024
37.69,-97.34,1971,280300,"Wichita KS",142.704245451302
33.69,-111.87,1973,82659,"Scottsdale AZ",142.755174875089
40.67,-74.19,1963,105757,"Elizabeth NJ",142.780146940628
41.38,-82.11,1971,54600,"Elyria OH",142.857142857143
30.31,-97.75,1963,202038,"Austin TX",143.042397964739
41.09,-73.42,1968,76200,"Norwalk CT",143.044619422572
37.97,-121.31,1965,95000,"Stockton CA",143.157894736842
39.14,-84.51,1966,500211,"Cincinnati OH",143.339510726473
34.06,-117.76,1966,85100,"Pomona CA",143.360752056404
61.18,-149.19,1968,53000,"Anchorage AK",143.396226415094
33.61,-117.87,1972,54350,"Newport Beach CA",143.514259429623
41.1,-73.55,1976,108000,"Stamford CT",143.518518518519
25.86,-80.3,1966,85000,"Hialeah FL",143.529411764706
26.75,-80.13,1964,61990,"West Palm Beach FL",143.571543797387
35.07,-85.26,1970,119082,"Chattanooga TN",143.598528744898
27.98,-82.77,1969,55000,"Clearwater FL",143.636363636364
39.82,-105.11,1997,100209,"Arvada CO",143.699667694518
38.86,-104.76,1973,170300,"Colorado Springs CO",143.863769817968
43.04,-76.14,1969,209208,"Syracuse NY",143.875951206455
41.13,-73.26,1991,53481,"Fairfield CT",143.976365438193
42.05,-87.69,1964,82604,"Evanston IL",144.060820299259
37.97,-121.31,1968,98421,"Stockton CA",144.278152020402
40.91,-74.16,1969,147553,"Paterson NJ",144.354909761238
38.11,-122.26,1972,74800,"Vallejo CA",144.385026737968
41.08,-81.52,1969,299762,"Akron OH",144.447928690094
40.66,-74.11,1964,75983,"Bayonne NJ",144.769224694998
39.14,-84.51,1964,487649,"Cincinnati OH",144.776263254923
37.56,-122.31,1972,79423,"San Mateo CA",144.794329098624
36.74,-76.04,1966,131860,"Virginia Beach VA",144.850599120279
35.2,-101.82,1963,118736,"Amarillo TX",144.859183398464
41.08,-81.52,1972,276000,"Akron OH",144.927536231884
39.78,-84.2,1964,257355,"Dayton OH",144.935983369276
39.82,-105.11,1975,84864,"Arvada CO",144.93778280543
33.91,-118.35,1972,53800,"Hawthorne CA",144.981412639405
37.69,-97.34,1973,262766,"Wichita KS",144.995927935882
41.13,-73.26,1998,53741,"Fairfield CT",145.140581678793
39.74,-75.53,1971,81124,"Wilmington DE",145.45633844485
29.77,-95.39,1973,1312000,"Houston TX",145.503048780488
36.74,-76.04,1964,118818,"Virginia Beach VA",145.600834890336
33.54,-112.07,1966,513008,"Phoenix AZ",145.611764338958
33.91,-118.35,1971,53504,"Hawthorne CA",145.783492822967
40.77,-74.03,1972,58281,"Union City NJ",145.845129630583
29.9,-93.93,1974,55529,"Port Arthur TX",145.869725728898
43.04,-76.14,1971,194461,"Syracuse NY",146.044708193417
42.49,-92.35,1969,79268,"Waterloo IA",146.339001867084
38.27,-104.62,1967,103850,"Pueblo CO",146.364949446317
32.79,-96.77,1960,679684,"Dallas TX",146.391558430094
33.39,-111.93,1968,56000,"Tempe AZ",146.428571428571
41.82,-71.42,1967,187061,"Providence RI",146.476283137586
39.39,-84.56,1960,72354,"Hamilton OH",146.501921110098
38.22,-85.74,1971,359700,"Louisville KY",146.510981373367
33.58,-101.88,1962,140557,"Lubbock TX",146.559758674417
37.63,-122.1,1968,93400,"Hayward CA",146.680942184154
41.66,-70.94,1972,102190,"New Bedford MA",146.785399745572
33.79,-118.16,1967,391000,"Long Beach CA",146.803069053708
38.35,-81.63,1960,85796,"Charleston WV",146.859993472889
41.66,-83.58,1973,386700,"Toledo OH",146.883889319886
32.86,-96.97,1972,99999,"Irving TX",147.0014700147
33.78,-117.96,1973,119700,"Garden Grove CA",147.03425229741
42.49,-92.35,1992,67309,"Waterloo IA",147.082856675927
42.37,-87.87,1970,65269,"Waukegan IL",147.083607838331
32.2,-110.89,1970,262933,"Tucson AZ",147.185784971837
39.17,-86.52,1986,52277,"Bloomington IN",147.292308280888
47.67,-117.41,1973,172400,"Spokane WA",147.331786542923
36.86,-76.36,1965,120000,"Portsmouth VA",147.5
33.85,-118.12,1973,82700,"Lakewood CA",147.521160822249
30.07,-89.93,1965,663397,"New Orleans LA",147.573775582344
39.14,-84.51,1968,500642,"Cincinnati OH",147.610468158884
41.4,-75.67,1973,102294,"Scranton PA",147.613740786361
39.39,-84.56,1961,72354,"Hamilton OH",147.884014705476
32.79,-79.99,1962,83107,"Charleston SC",148.001973359645
38.04,-84.46,1973,181687,"Lexington KY",148.056822997793
35.57,-82.55,1972,57368,"Asheville NC",148.166225073212
31.87,-102.35,1974,80300,"Odessa TX",148.194271481943
31.57,-97.18,1963,105830,"Waco TX",148.351129169423
38.45,-122.7,1973,60600,"Santa Rosa CA",148.514851485149
44.92,-123.02,1971,66636,"Salem OR",148.568341437061
26.14,-80.14,1968,140000,"Fort Lauderdale FL",148.571428571429
32.75,-97.34,1969,411000,"Fort Worth TX",148.661800486618
32.84,-83.66,1972,118952,"Macon GA",148.799515771067
39.78,-89.64,1971,91391,"Springfield IL",148.811152082809
41.23,-111.97,1972,72500,"Ogden UT",148.965517241379
42.73,-73.68,1998,52303,"Troy NY",149.131024989006
32.81,-117.14,1973,740200,"San Diego CA",149.148878681437
37.76,-87.12,1987,56289,"Owensboro KY",149.229867292011
36.86,-76.36,1967,115139,"Portsmouth VA",149.384656806121
41.09,-73.42,1969,76300,"Norwalk CT",149.410222804718
41.77,-72.75,1976,67591,"West Hartford CT",149.428178307763
41.19,-73.2,1970,156542,"Bridgeport CT",149.480650560233
32.2,-110.89,1972,275554,"Tucson AZ",149.516973079687
39.94,-75.11,1968,113000,"Camden NJ",149.557522123894
35.2,-101.82,1965,122994,"Amarillo TX",149.600793534644
32.75,-97.34,1970,393476,"Fort Worth TX",149.691467840478
35.2,-101.82,1960,112866,"Amarillo TX",149.735084082009
41.48,-81.68,1965,858823,"Cleveland OH",149.972695188648
33.58,-101.88,1966,161241,"Lubbock TX",150.085896267078
38.22,-85.74,1972,356050,"Louisville KY",150.259794972616
37.77,-122.22,1965,385700,"Oakland CA",150.375939849624
41.2,-73.13,1980,50533,"Stratford CT",150.396770427246
27.53,-99.49,1973,71800,"Laredo TX",150.41782729805
42.73,-73.68,1966,67106,"Troy NY",150.508151283045
42.21,-70.95,1981,55770,"Weymouth MA",150.618612157074
44.96,-93.27,1968,457768,"Minneapolis MN",150.7313748449
40.2,-85.39,1971,71633,"Muncie IN",150.768500551422
39.47,-87.38,1980,61020,"Terre Haute IN",150.770239265814
25.93,-97.48,1975,70963,"Brownsville TX",150.782802305427
37.69,-97.34,1970,276554,"Wichita KS",150.784295291335
41.77,-72.68,1966,162200,"Hartford CT",151.048088779285
40.78,-111.93,1970,175885,"Salt Lake City UT",151.235182079199
33.58,-101.88,1965,146051,"Lubbock TX",151.317005703487
42.39,-71.1,1973,83900,"Somerville MA",151.370679380215
41.44,-82.18,1971,78600,"Lorain OH",151.399491094148
33.54,-112.07,1965,505666,"Phoenix AZ",151.483390222004
35.47,-97.51,1968,379355,"Oklahoma City OK",151.57306480737
33.58,-101.88,1963,140485,"Lubbock TX",151.617610421041
38.27,-104.62,1968,104200,"Pueblo CO",151.631477927063
40.22,-74.76,1965,108740,"Trenton NJ",151.73809085893
44.96,-93.27,1966,475110,"Minneapolis MN",151.754330576077
47.5,-111.29,1987,56617,"Great Falls MT",151.897839871417
33.9,-98.52,1966,112524,"Wichita Falls TX",151.967580249547
41.71,-71.11,1972,97984,"Fall River MA",152.065643370346
38.22,-85.74,1973,353633,"Louisville KY",152.135123136133
42.47,-70.96,1966,92672,"Lynn MA",152.149516574586
39.77,-104.87,1967,525000,"Denver CO",152.190476190476
41.04,-73.59,2000,61101,"Greenwich CT",152.20700152207
39.09,-94.35,1970,111662,"Independence MO",152.245168454801
37.28,-79.96,1963,100300,"Roanoke VA",152.542372881356
36.21,-115.22,1971,127500,"Las Vegas NV",152.941176470588
43.04,-76.14,1973,188891,"Syracuse NY",152.998290019112
42.73,-73.68,1971,62007,"Troy NY",153.208508716758
27.53,-99.49,1961,60678,"Laredo TX",153.26807079996
41.68,-72.79,1971,82200,"New Britain CT",153.284671532847
32.03,-102.1,1960,62625,"Midland TX",153.293413173653
43.1,-75.23,1977,90000,"Utica NY",153.333333333333
40.51,-78.4,1973,62500,"Altoona PA",153.6
26.75,-80.13,1968,62500,"West Palm Beach FL",153.6
42.47,-70.96,1968,91144,"Lynn MA",153.603089616431
35.2,-101.82,1962,115226,"Amarillo TX",153.611164146981
43.42,-83.95,1963,97533,"Saginaw MI",153.794100458306
33.39,-111.93,1967,52000,"Tempe AZ",153.846153846154
34.79,-92.26,1964,65648,"North Little Rock AR",153.85084084816
40.67,-73.94,1961,7781984,"New York NY",153.893917026815
42.47,-70.96,1970,90294,"Lynn MA",153.94156865351
39.04,-95.69,1966,118081,"Topeka KS",154.131486013838
36.68,-76.31,1964,80383,"Chesapeake VA",154.261473197069
36.86,-76.36,1969,125077,"Portsmouth VA",154.304948151938
28.5,-81.37,1960,88135,"Orlando FL",154.30873092415
40.28,-76.88,1969,75800,"Harrisburg PA",154.353562005277
33.61,-117.87,1971,51823,"Newport Beach CA",154.371611060726
30.09,-94.14,1961,119175,"Beaumont TX",154.394797566604
42.27,-89.06,1972,148178,"Rockford IL",154.543859412328
41.62,-87.49,1971,111290,"Hammond IN",154.551172612095
35.97,-83.95,1969,185000,"Knoxville TN",154.594594594595
42.84,-78.75,1974,53000,"West Seneca NY",154.716981132075
41.1,-73.55,1974,109200,"Stamford CT",154.761904761905
37.77,-122.22,1966,385700,"Oakland CA",154.783510500389
42.08,-71.03,1973,94300,"Brockton MA",154.825026511135
42.34,-71.02,1966,664480,"Boston MA",154.857934023597
33.94,-117.4,1967,138092,"Riverside CA",154.969151000782
41.04,-73.59,1996,59310,"Greenwich CT",155.117180913843
40.92,-73.78,1972,75400,"New Rochelle NY",155.172413793103
37.76,-121.95,2010,72148,"San Ramon CA",155.236458391085
42.89,-78.86,1972,458649,"Buffalo NY",155.238537530879
37.52,-122.21,1973,54100,"Redwood City CA",155.268022181146
41.13,-73.26,1993,53451,"Fairfield CT",155.282408186938
38.04,-84.46,1965,74000,"Lexington KY",155.405405405405
34.08,-118.13,1973,61100,"Alhambra CA",155.482815057283
33.76,-84.42,1962,457121,"Atlanta GA",155.538686693458
43.06,-88.03,1983,52036,"Wauwatosa WI",155.661465139519
41.4,-75.67,1972,104000,"Scranton PA",155.769230769231
43.17,-77.62,1971,293956,"Rochester NY",155.805630774674
32.86,-96.97,1973,108467,"Irving TX",155.807757198042
25.93,-97.48,1968,58400,"Brownsville TX",155.821917808219
38.35,-81.63,1966,86621,"Charleston WV",155.851352443403
41.48,-81.68,1968,819101,"Cleveland OH",155.902629834416
46.78,-92.12,1974,100000,"Duluth MN",156
33.39,-111.93,1973,76896,"Tempe AZ",156.05493133583
40.74,-89.61,1965,129922,"Peoria IL",156.247594710673
32.03,-102.1,1972,58868,"Midland TX",156.281850920704
43.04,-76.14,1972,191300,"Syracuse NY",156.299006795609
33.9,-98.52,1960,101724,"Wichita Falls TX",156.305296685148
39.99,-82.99,1960,471316,"Columbus OH",156.370672754585
40.63,-75.37,1969,54997,"Bethlehem PA",156.372165754496
42.05,-87.69,1972,80570,"Evanston IL",156.385751520417
26.37,-80.11,1989,63298,"Boca Raton FL",156.403045909823
42.43,-71.06,1976,55625,"Malden MA",156.404494382022
39.54,-119.82,1970,72863,"Reno NV",156.458010238393
32.32,-90.21,1961,144422,"Jackson MS",156.485853955769
42.27,-71.81,1972,175727,"Worcester MA",156.492741582113
41.44,-82.18,1966,78528,"Lorain OH",156.632029339853
39.39,-84.56,1963,74678,"Hamilton OH",156.672647901658
42.89,-78.86,1973,450000,"Buffalo NY",156.888888888889
32.86,-96.97,1969,95582,"Irving TX",156.933313803854
38.86,-104.76,1970,135060,"Colorado Springs CO",156.967273804235
42.7,-71.16,1972,67400,"Lawrence MA",157.27002967359
47.96,-122.2,1969,57172,"Everett WA",157.419715944868
38.22,-85.74,1968,387400,"Louisville KY",157.459989674755
42.42,-71.11,2002,56456,"Medford MA",157.644891596996
35.57,-82.55,1960,60192,"Asheville NC",157.828282828283
32.79,-79.99,1963,73283,"Charleston SC",158.290462999604
41.1,-80.65,1965,165500,"Youngstown OH",158.308157099698
41.4,-75.67,2000,76415,"Scranton PA",158.34587450108
39.14,-84.51,1967,502550,"Cincinnati OH",158.392199781116
41.44,-82.18,1969,81418,"Lorain OH",158.441622245695
40.11,-88.26,1968,56134,"Champaign IL",158.549185876652
41.77,-72.68,1965,162000,"Hartford CT",158.641975308642
41.77,-72.75,1977,68076,"West Hartford CT",158.646218931782
37.77,-122.22,1967,385700,"Oakland CA",158.672543427534
41.7,-88.08,2006,66773,"Bolingbrook IL",158.746798855825
42.32,-83.38,1969,80000,"Westland MI",158.75
40.67,-73.94,1962,7820910,"New York NY",158.779477068525
42.47,-70.96,1969,90052,"Lynn MA",158.797139430551
36.78,-119.79,1973,176800,"Fresno CA",158.93665158371
41.48,-81.68,1967,810858,"Cleveland OH",159.090740918879
42.37,-87.87,2009,91059,"Waukegan IL",159.237417498545
32.97,-96.71,1975,55251,"Richardson TX",159.273135327867
41.2,-73.13,1982,51476,"Stratford CT",159.29753671614
37.87,-122.27,1969,121060,"Berkeley CA",159.425078473484
33.79,-118.16,1970,358633,"Long Beach CA",159.494525043708
41.1,-80.65,1970,139788,"Youngstown OH",159.527284173177
40.09,-85.69,1971,72700,"Anderson IN",159.559834938102
45.79,-108.54,1973,64537,"Billings MT",159.598369927329
33.86,-118.38,1968,58875,"Redondo Beach CA",159.660297239915
41.77,-71.48,1976,78868,"Cranston RI",159.76061266927
32.03,-102.1,1973,58800,"Midland TX",159.863945578231
41.08,-81.52,1973,276300,"Akron OH",159.971045964531
41.2,-73.13,1983,51231,"Stratford CT",160.059339072046
39.78,-84.2,1965,264628,"Dayton OH",160.224919509651
33.58,-101.88,1964,149124,"Lubbock TX",160.269306080845
39.47,-87.38,1982,61131,"Terre Haute IN",160.311462269552
42.28,-83.73,1970,99797,"Ann Arbor MI",160.325460685191
35.2,-101.82,1961,112866,"Amarillo TX",160.367161058246
33.86,-118.38,1969,59841,"Redondo Beach CA",160.425126585451
38.22,-85.74,1967,390100,"Louisville KY",160.471673929762
35.57,-82.55,1967,65405,"Asheville NC",160.53818515404
42.49,-92.35,1968,77185,"Waterloo IA",160.652976614627
42.33,-71.21,1985,83381,"Newton MA",160.708074981111
42.18,-72.57,1976,58431,"Chicopee MA",160.873508925057
38.8,-90.32,1975,68992,"Florissant MO",160.888218923933
32.91,-96.63,1967,57804,"Garland TX",160.888519825618
41.13,-73.26,1994,53418,"Fairfield CT",160.994421356097
43.01,-88.24,1985,51546,"Waukesha WI",161.021223761301
41.1,-73.55,1977,103705,"Stamford CT",161.033701364447
39.78,-84.2,1966,266983,"Dayton OH",161.058943827884
40.76,-82.53,1968,52145,"Mansfield OH",161.08927030396
41.4,-73.47,1973,55243,"Danbury CT",161.106384519306
42.84,-78.75,1975,54000,"West Seneca NY",161.111111111111
41.24,-80.82,1969,67000,"Warren OH",161.194029850746
38.35,-81.63,1965,84355,"Charleston WV",161.223401102484
36.68,-121.64,1975,68834,"Salinas CA",161.257518086992
42.28,-83.73,1969,91138,"Ann Arbor MI",161.293862055345
39.54,-119.82,1972,78100,"Reno NV",161.331626120359
40.6,-75.48,1971,110297,"Allentown PA",161.382449205327
39.99,-82.99,1972,551044,"Columbus OH",161.511603429127
41.68,-72.79,1980,73674,"New Britain CT",161.522382387274
42.04,-88.29,2006,78579,"Elgin IL",161.620789269398
44.27,-88.4,1975,55640,"Appleton WI",161.754133716751
39.95,-86.02,2009,73538,"Fishers IN",161.821099295602
42.91,-78.75,1974,99999,"Cheektowaga NY",162.0016200162
33.39,-111.93,1970,63550,"Tempe AZ",162.077104642014
42.5,-90.69,1977,62309,"Dubuque IA",162.095363430644
43.66,-70.28,1973,66000,"Portland ME",162.121212121212
40.2,-85.39,1970,69080,"Muncie IN",162.130862767805
33.24,-87.54,1964,68458,"Tuscaloosa AL",162.143211896345
35.2,-80.83,1961,201564,"Charlotte NC",162.231350836459
32.79,-79.99,1961,65925,"Charleston SC",162.305650360258
26.03,-80.16,1967,93000,"Hollywood FL",162.365591397849
41.13,-73.26,1988,52956,"Fairfield CT",162.398972732079
34.79,-92.26,1965,61510,"North Little Rock AR",162.575191025849
37.4,-79.19,1972,52888,"Lynchburg VA",162.607774920587
42.21,-70.95,1976,55315,"Weymouth MA",162.704510530597
41.1,-80.65,1969,164682,"Youngstown OH",162.737882707278
37.63,-122.1,1969,93400,"Hayward CA",162.740899357602
39.38,-74.45,1969,62034,"Atlantic City NJ",162.813940742174
34.04,-80.89,1964,103792,"Columbia SC",162.825651302605
37.66,-120.99,1969,54034,"Modesto CA",162.860421216271
41.71,-71.11,1974,96400,"Fall River MA",162.863070539419
37.3,-121.85,1971,456200,"San Jose CA",162.86716352477
36.13,-95.92,1968,294620,"Tulsa OK",162.921729685697
38.35,-81.63,1973,68600,"Charleston WV",163.265306122449
26.27,-80.26,1989,68506,"Coral Springs FL",163.489329401804
36.86,-76.36,1968,117386,"Portsmouth VA",163.562946177568
30.07,-89.93,1964,656098,"New Orleans LA",163.695057750519
36.21,-115.22,1964,98959,"Las Vegas NV",163.704160308815
40.01,-75.13,1967,2062175,"Philadelphia PA",163.807630293258
34.71,-86.63,1991,161703,"Huntsville AL",163.880694854146
32.45,-99.74,1977,93915,"Abilene TX",163.978065271788
41.13,-73.26,1987,53038,"Fairfield CT",164.033334590294
39.78,-86.15,1968,520850,"Indianapolis IN",164.346740904291
42.89,-78.86,1969,474600,"Buffalo NY",164.348925410872
34.05,-117.61,1969,63800,"Ontario CA",164.576802507837
29.66,-95.15,1974,99600,"Pasadena TX",164.658634538153
26.03,-80.16,1970,106873,"Hollywood FL",164.681444331122
37.28,-79.96,1960,97110,"Roanoke VA",164.761610544743
36.68,-76.31,1965,88600,"Chesapeake VA",164.785553047404
42.64,-71.32,1981,92831,"Lowell MA",164.815632708901
41.51,-81.56,1986,56937,"Cleveland Heights OH",165.094753850747
39.78,-86.15,1969,520238,"Indianapolis IN",165.116735032812
42.42,-71.16,1975,54493,"Arlington MA",165.158827739343
40.22,-74.76,1966,106560,"Trenton NJ",165.165165165165
34.14,-117.29,1967,112000,"San Bernardino CA",165.178571428571
25.86,-80.3,1970,102297,"Hialeah FL",165.205235735163
33.9,-98.52,1965,110136,"Wichita Falls TX",165.250236071766
40.67,-73.94,1963,7881863,"New York NY",165.252808885412
37.3,-121.85,1970,445779,"San Jose CA",165.328559667459
44.05,-123.11,1973,90100,"Eugene OR",165.371809100999
42.73,-73.68,1965,67106,"Troy NY",165.409948439782
26.03,-80.16,1966,87000,"Hollywood FL",165.51724137931
35.2,-101.82,1969,125000,"Amarillo TX",165.6
39.94,-75.11,1962,117554,"Camden NJ",165.881212038723
42.12,-72.54,1970,163905,"Springfield MA",165.949787986944
35.36,-119,1972,74700,"Bakersfield CA",165.997322623829
33.74,-117.88,1970,156601,"Santa Ana CA",166.027036864388
37.3,-121.85,1972,495000,"San Jose CA",166.060606060606
41.68,-72.94,1971,57175,"Bristol CT",166.156536947967
40.3,-111.7,1986,61378,"Orem UT",166.183323014761
36.13,-95.92,1970,328471,"Tulsa OK",166.224719990501
33.69,-111.87,1972,77002,"Scottsdale AZ",166.229448585751
42.5,-96.39,1973,88400,"Sioux City IA",166.289592760181
41.82,-71.42,1968,187000,"Providence RI",166.310160427807
36.13,-95.92,1969,313178,"Tulsa OK",166.678374598471
40.71,-74.06,1971,264993,"Jersey City NJ",166.796858784949
32.02,-81.13,1960,149245,"Savannah GA",166.839760125967
32.32,-90.21,1960,144422,"Jackson MS",166.87208320062
34.14,-117.29,1969,114411,"San Bernardino CA",166.941989843634
33.58,-101.88,1961,128691,"Lubbock TX",167.066850051674
40.28,-76.88,1971,67600,"Harrisburg PA",167.159763313609
34.21,-92.02,1970,57389,"Pine Bluff AR",167.279443795849
34.71,-86.63,1969,177450,"Huntsville AL",167.371090448014
34.71,-86.63,1972,141000,"Huntsville AL",167.375886524823
35.97,-83.95,1971,178029,"Knoxville TN",167.388459183616
40.78,-111.93,1971,174400,"Salt Lake City UT",167.43119266055
41.68,-86.27,1973,124800,"South Bend IN",167.467948717949
41.02,-73.76,1973,50150,"White Plains NY",167.497507477567
41.44,-82.18,1968,80000,"Lorain OH",167.5
39.14,-84.51,1973,437591,"Cincinnati OH",167.508015475638
42.05,-87.69,2007,75746,"Evanston IL",167.66561930663
47.25,-122.46,1967,156000,"Tacoma WA",167.948717948718
41.08,-81.52,1970,275425,"Akron OH",168.103839520741
32.51,-84.87,1976,166552,"Columbus GA",168.115663576541
39.78,-86.15,1973,510000,"Indianapolis IN",168.43137254902
25.93,-97.48,1967,51018,"Brownsville TX",168.567956407542
42.21,-70.95,1983,55741,"Weymouth MA",168.637089395598
29.77,-95.39,1972,1285600,"Houston TX",168.714996888612
35.2,-101.82,1967,125623,"Amarillo TX",168.758905614418
33.54,-112.07,1964,517680,"Phoenix AZ",169.02333487869
42.05,-87.69,2010,74486,"Evanston IL",169.159305104315
34.04,-80.89,1965,101000,"Columbia SC",169.306930693069
38.41,-82.43,1963,75584,"Huntington WV",169.348010160881
41.77,-71.48,1974,76151,"Cranston RI",169.400270515161
33.86,-118.38,1970,56075,"Redondo Beach CA",169.41596076683
42.47,-70.96,1965,92653,"Lynn MA",169.449451178051
42.42,-71.11,2001,56030,"Medford MA",169.552025700518
42.21,-70.95,1980,55366,"Weymouth MA",169.779286926995
38.57,-121.47,1970,254413,"Sacramento CA",169.802643732828
42.42,-71.11,1984,58298,"Medford MA",169.817146385811
33.39,-111.93,1969,60000,"Tempe AZ",170
41.89,-87.79,1973,62350,"Oak Park IL",170.008019246191
42.21,-70.95,1996,55856,"Weymouth MA",170.080206244629
39.14,-84.51,1972,446800,"Cincinnati OH",170.322291853178
